区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
锦江,东北,有,低楼层 (共42层),106104619732,3室2厅,148,毛坯,81.52㎡,2009年建
都江堰,东南,有,中楼层 (共7层),106104875711,3室1厅,46.5,精装,52.91㎡,未知年建
龙泉驿,西,有,高楼层 (共41层),106104608361,3室1厅,135.56,精装,86.91㎡,未知年建
武侯,东北 东南 西南,有,中楼层 (共8层),106104406493,3室2厅,250,精装,143.25㎡,2009年建
双流,南,有,高楼层 (共12层),106104874408,3室2厅,133,精装,86.34㎡,未知年建
金牛,东南,有,中楼层 (共11层),106104601730,3室2厅,217,精装,127.51㎡,2003年建
锦江,东,有,中楼层 (共34层),106104404196,3室1厅,218,精装,88.9㎡,2011年建
高新,南,有,中楼层 (共18层),106104600320,3室2厅,212,精装,89.86㎡,2014年建
金牛,西北,有,中楼层 (共29层),106104874089,3室2厅,199,精装,112.15㎡,2010年建
高新,南,有,中楼层 (共26层),106104399517,3室1厅,302,精装,110.3㎡,2017年建
龙泉驿,东南,有,高楼层 (共34层),106104588542,3室1厅,142,精装,87.01㎡,2012年建
武侯,北,有,高楼层 (共11层),106104870821,4室2厅,229,精装,114.47㎡,2004年建
双流,南,有,高楼层 (共28层),106104378733,3室2厅,176,精装,101.87㎡,未知年建
青羊,东南,无,低楼层 (共7层),106104869876,1室1厅,59.8,简装,50.95㎡,未知年建
青羊,东南,有,高楼层 (共9层),106104577663,4室1厅,345,精装,157.76㎡,2009年建
青羊,北,有,低楼层 (共20层),106104856292,3室2厅,194,精装,87.83㎡,2013年建
郫都,东南,有,低楼层 (共32层),106104577380,3室1厅,104,精装,88.89㎡,未知年建
青羊,南,有,中楼层 (共20层),106104574061,3室1厅,215,精装,88.35㎡,2014年建
成华,南,有,高楼层 (共26层),106104853283,2室1厅,107,精装,72㎡,未知年建
郫都,东南 西北,有,低楼层 (共26层),106104571750,3室2厅,129.5,精装,82.22㎡,2015年建
武侯,东,有,高楼层 (共10层),106104843341,2室1厅,84.8,精装,57.17㎡,2005年建
新都,南 西北,有,高楼层 (共32层),106104568279,3室2厅,120,简装,118.38㎡,2015年建
龙泉驿,南 北,有,低楼层 (共32层),106104842484,4室2厅,195,精装,118.23㎡,2016年建
龙泉驿,东南,有,高楼层 (共18层),106104563522,2室2厅,84.5,精装,75.57㎡,2010年建
高新,东,有,低楼层 (共18层),106104842471,3室1厅,212,精装,89.43㎡,2009年建
新都,南,有,低楼层 (共12层),106104560062,3室2厅,149.8,简装,131.62㎡,2013年建
锦江,东南,有,高楼层 (共34层),106104841608,3室2厅,135,精装,78.67㎡,2011年建
天府新区,南,有,中楼层 (共33层),106104553028,3室2厅,218,精装,105.3㎡,未知年建
武侯,北,有,高楼层 (共16层),106104837062,3室1厅,157,精装,83.41㎡,2013年建
成华,东 东北,有,低楼层 (共29层),106104542812,3室1厅,185,精装,98.77㎡,2012年建
成华,东南,无,高楼层 (共7层),106104830436,2室2厅,74.74,精装,92.57㎡,1998年建
武侯,东南,无,中楼层 (共7层),106104537410,3室2厅,135,精装,106.8㎡,1999年建
温江,西南,有,高楼层 (共26层),106104827333,3室2厅,130,精装,82.72㎡,2016年建
青羊,南,无,高楼层 (共5层),106104826548,3室2厅,85,精装,69.1㎡,1980年建
成华,东南,有,高楼层 (共27层),106104826455,2室1厅,146.5,精装,72.33㎡,2012年建
郫都,东南,有,高楼层 (共33层),106104823017,3室2厅,104,精装,88.66㎡,2013年建
新都,北,有,高楼层 (共11层),106104985205,3室2厅,120,精装,120.25㎡,未知年建
郫都,东南,有,中楼层 (共32层),106104817657,2室1厅,86,精装,62.86㎡,2013年建
郫都,东 东北,有,高楼层 (共18层),106104984920,3室1厅,104.8,精装,94.84㎡,2012年建
郫都,西北,有,高楼层 (共32层),106104814674,2室1厅,68,简装,49.37㎡,2013年建
武侯,东南,有,低楼层 (共16层),106104814067,3室1厅,158,简装,86.43㎡,2013年建
郫都,西北,有,中楼层 (共18层),106104982092,3室2厅,113,简装,103.17㎡,2011年建
双流,南 北,有,低楼层 (共24层),106104978914,3室1厅,148,精装,101.83㎡,2012年建
高新,东南,有,中楼层 (共18层),106104812394,3室2厅,285,精装,110.28㎡,2013年建
青羊,南,暂无数据,中楼层 (共7层),106104977125,2室1厅,138,简装,78.87㎡,1999年建
武侯,西北,有,中楼层 (共18层),106104779570,2室2厅,138,简装,69.67㎡,2016年建
锦江,西南,无,高楼层 (共7层),106104967885,2室1厅,62,简装,53.46㎡,未知年建
温江,东北,有,低楼层 (共33层),106104772556,4室2厅,139.5,精装,129.46㎡,2014年建
郫都,东南,有,低楼层 (共29层),106104963460,3室2厅,124,精装,89.54㎡,2013年建
天府新区,西北,有,中楼层 (共31层),106104770973,3室1厅,155,精装,76.17㎡,2017年建
锦江,西北,有,中楼层 (共18层),106104963336,3室1厅,238,精装,130.47㎡,2003年建
金牛,西南,有,高楼层 (共16层),106104766796,3室2厅,156,精装,88.84㎡,2013年建
锦江,东,有,中楼层 (共34层),106104960994,2室1厅,89,精装,50.23㎡,2010年建
青羊,南 北,有,高楼层 (共21层),106104761989,3室2厅,320,精装,135.5㎡,2013年建
双流,东,有,高楼层 (共13层),106104954527,3室2厅,141,简装,89.52㎡,未知年建
锦江,东北,有,低楼层 (共34层),106104761641,2室1厅,95,精装,51.38㎡,2010年建
金牛,东南,有,低楼层 (共17层),106104954384,3室2厅,158,精装,116.46㎡,2009年建
温江,东北,有,高楼层 (共27层),106104761358,4室2厅,232,精装,94.16㎡,2008年建
金牛,南,有,低楼层 (共18层),106104953323,3室2厅,183,精装,132.32㎡,2008年建
新都,东 西,有,高楼层 (共18层),106104945788,3室2厅,151.8,精装,98.46㎡,2010年建
双流,东 西,有,高楼层 (共6层),106104941316,3室1厅,76,简装,93.68㎡,未知年建
温江,南,有,中楼层 (共22层),106104938454,2室2厅,130,精装,86.23㎡,2009年建
郫都,东南,有,中楼层 (共18层),106104929830,3室2厅,126,简装,119.32㎡,2010年建
高新,西南,无,中楼层 (共6层),106104929673,3室2厅,167.9,精装,126.02㎡,2005年建
双流,西,有,中楼层 (共15层),106104929451,3室2厅,140.8,精装,96.72㎡,2015年建
青羊,北,有,中楼层 (共18层),106105159208,3室2厅,137,简装,89㎡,2012年建
武侯,北,有,中楼层 (共11层),106104926081,3室2厅,242,简装,120.02㎡,2004年建
郫都,南,有,中楼层 (共29层),106105158602,3室1厅,129,精装,75.99㎡,2015年建
高新,西南,有,中楼层 (共20层),106104923963,3室2厅,375,精装,151.68㎡,2013年建
新都,西南,有,中楼层 (共34层),106105158512,3室2厅,97.5,精装,81.6㎡,2015年建
武侯,西北,有,高楼层 (共21层),106104922467,2室2厅,169,精装,87.49㎡,2011年建
高新,东,有,低楼层 (共32层),106105156388,3室1厅,248,精装,116.34㎡,2014年建
龙泉驿,东南,暂无数据,中楼层 (共32层),106104914336,2室2厅,98.8,精装,67.39㎡,未知年建
锦江,东南,有,中楼层 (共34层),106105153647,2室1厅,85,精装,51.19㎡,2010年建
锦江,西北,有,中楼层 (共26层),106104906052,3室2厅,183,简装,85.19㎡,2011年建
金牛,北,有,中楼层 (共39层),106105152682,2室1厅,167,精装,88.8㎡,2015年建
龙泉驿,东南,有,高楼层 (共18层),106104905613,3室1厅,142.5,精装,105.77㎡,2009年建
新都,东南,有,低楼层 (共26层),106105152483,3室1厅,103,精装,75.37㎡,2015年建
金牛,东,有,中楼层 (共32层),106104897277,3室1厅,192,精装,93.83㎡,2012年建
龙泉驿,东南,有,高楼层 (共44层),106105152226,3室1厅,125,精装,83.25㎡,2016年建
成华,南,有,中楼层 (共27层),106104893122,3室2厅,182,精装,115.16㎡,2011年建
武侯,西,有,低楼层 (共24层),106105152009,3室2厅,137,精装,72.2㎡,未知年建
高新,西南 东北,有,中楼层 (共43层),106105148065,4室2厅,299,精装,114㎡,2015年建
温江,东南,有,高楼层 (共33层),106104891465,3室2厅,82,精装,86.37㎡,2015年建
温江,东,有,高楼层 (共18层),106105147488,3室2厅,98.8,精装,89.38㎡,2000年建
郫都,东南,无,低楼层 (共6层),106104885715,3室2厅,95,精装,99.96㎡,2013年建
天府新区,东,有,高楼层 (共33层),106105147331,3室2厅,150,精装,76.63㎡,未知年建
成华,东,有,高楼层 (共32层),106105146318,2室1厅,70,简装,58.6㎡,未知年建
龙泉驿,西北,有,高楼层 (共40层),106105145384,3室2厅,122,简装,93.25㎡,2017年建
温江,东南,有,低楼层 (共33层),106105145353,2室2厅,92,简装,86.34㎡,2014年建
郫都,东南,有,高楼层 (共33层),106105207694,2室2厅,115,精装,78.79㎡,2013年建
龙泉驿,南 西南,有,中楼层 (共34层),106105143705,3室1厅,135,精装,79.93㎡,2017年建
新都,西南,有,中楼层 (共11层),106105206666,3室1厅,92,精装,95.33㎡,未知年建
天府新区,北,有,高楼层 (共33层),106105142506,3室1厅,155,精装,74㎡,未知年建
郫都,东南,有,中楼层 (共26层),106105204865,3室1厅,115.1,精装,64㎡,2015年建
郫都,西南,无,中楼层 (共6层),106105142445,3室2厅,89,精装,106㎡,未知年建
天府新区,东,有,低楼层 (共33层),106105199014,3室2厅,182,精装,95.51㎡,2015年建
温江,西,有,低楼层 (共34层),106105197640,3室1厅,109.8,精装,82.71㎡,2014年建
温江,西,有,高楼层 (共33层),106105141474,3室2厅,114,精装,81.78㎡,2017年建
双流,东南,无,中楼层 (共6层),106105197613,3室2厅,110,精装,112㎡,2005年建
双流,南 东,有,高楼层 (共13层),106105139148,3室2厅,137,精装,88.88㎡,2018年建
新都,东 西,有,高楼层 (共31层),106105196517,3室2厅,140,精装,107.61㎡,2017年建
青羊,南,无,中楼层 (共7层),106105138581,3室1厅,78,简装,64.02㎡,2001年建
新都,南 北,有,中楼层 (共27层),106105193126,3室1厅,130,简装,121.27㎡,2013年建
武侯,东南,有,低楼层 (共16层),106105137261,2室1厅,92,精装,56.85㎡,2015年建
新都,北,无,低楼层 (共5层),106105190423,3室2厅,134,简装,128.28㎡,2003年建
青羊,东,有,高楼层 (共18层),106105136451,3室1厅,245,简装,108.64㎡,未知年建
武侯,东南,有,低楼层 (共14层),106105185816,2室1厅,118,精装,67.77㎡,2003年建
武侯,南,有,中楼层 (共11层),106105135844,2室1厅,145,精装,89.2㎡,2007年建
高新,东,有,高楼层 (共31层),106105185155,1室1厅,130,精装,49㎡,2009年建
双流,东,有,低楼层 (共32层),106105135624,3室2厅,138,精装,70.17㎡,2016年建
武侯,西南,有,中楼层 (共13层),106105183749,3室2厅,174,精装,98.88㎡,2009年建
新都,东,有,中楼层 (共26层),106105135507,3室1厅,101,精装,88.74㎡,2016年建
成华,东南,有,中楼层 (共32层),106105183156,3室1厅,189,精装,83.84㎡,2017年建
青羊,东,无,低楼层 (共4层),106105134994,3室1厅,345,简装,100.38㎡,1995年建
青羊,西南,有,低楼层 (共17层),106105182861,3室2厅,165,精装,76.54㎡,2015年建
高新,南,无,中楼层 (共6层),106105134215,3室2厅,189,精装,119.97㎡,2004年建
金牛,北 南,有,低楼层 (共18层),106105181237,3室2厅,125,精装,96.26㎡,2009年建
武侯,西南,有,中楼层 (共11层),106104988248,2室1厅,100,简装,78.44㎡,2004年建
金牛,东南,有,低楼层 (共11层),106105181138,3室2厅,205,精装,111.97㎡,2007年建
彭州,西南,有,中楼层 (共27层),106105181023,3室2厅,57.95,精装,86㎡,2012年建
高新,南,无,低楼层 (共6层),106105180811,4室2厅,220,简装,145.07㎡,2000年建
双流,西,有,中楼层 (共32层),106105180360,3室2厅,208,精装,132㎡,2014年建
武侯,北 南,暂无数据,高楼层 (共4层),106105174668,3室1厅,96,简装,78.8㎡,未知年建
温江,西,有,高楼层 (共33层),106105168952,3室2厅,114,精装,81㎡,未知年建
武侯,东南 南,暂无数据,低楼层 (共6层),106105168053,2室1厅,80,简装,56.7㎡,未知年建
青羊,东南,无,中楼层 (共7层),106105167013,3室1厅,200,简装,111.09㎡,1996年建
锦江,东南 东,无,低楼层 (共6层),106105166101,2室1厅,107,简装,73.27㎡,未知年建
武侯,南,无,中楼层 (共7层),106105164320,2室1厅,90,简装,59.76㎡,1996年建
高新,南,有,高楼层 (共34层),106102424571,3室1厅,175,精装,95.5㎡,2014年建
金堂,东,有,中楼层 (共11层),106105163630,3室2厅,75,精装,108㎡,未知年建
双流,西,有,中楼层 (共24层),106102399521,2室2厅,121,精装,66㎡,未知年建
龙泉驿,南,有,低楼层 (共33层),106105163432,2室1厅,94.8,简装,76.68㎡,2012年建
天府新区,东 东南 南,有,高楼层 (共7层),106101959225,4室2厅,147.8,精装,158.43㎡,2003年建
天府新区,南,有,中楼层 (共18层),106105161518,3室2厅,237,精装,140.14㎡,未知年建
金牛,西,有,中楼层 (共21层),106101045369,2室2厅,113,精装,70.94㎡,2016年建
新都,南,有,中楼层 (共26层),106105261334,2室1厅,89.8,简装,72.9㎡,2008年建
成华,东 东南,有,中楼层 (共11层),106105161393,2室1厅,86,精装,88.94㎡,2010年建
青羊,东南,有,中楼层 (共33层),106105259300,2室2厅,135,精装,53.62㎡,2016年建
武侯,东北,无,中楼层 (共6层),106105257815,2室1厅,90,简装,75.22㎡,2008年建
都江堰,东南,有,低楼层 (共16层),106105254086,2室1厅,70,精装,68.38㎡,未知年建
青羊,南,无,低楼层 (共7层),106105249904,2室1厅,160,简装,78.39㎡,1998年建
成华,西,暂无数据,中楼层 (共6层),106105244398,1室1厅,50,简装,44.78㎡,2008年建
郫都,南 北,有,中楼层 (共18层),106105243561,2室2厅,86,简装,71㎡,2011年建
金牛,西北,有,高楼层 (共17层),106105242889,2室1厅,120,精装,85.31㎡,2012年建
成华,南,有,高楼层 (共17层),106105241473,2室2厅,116,简装,73.61㎡,2013年建
天府新区,南,有,中楼层 (共9层),106105235507,1室1厅,125,精装,67.14㎡,2017年建
双流,东南,有,高楼层 (共18层),106105230594,2室2厅,90,精装,82.31㎡,未知年建
新都,南,有,低楼层 (共18层),106105226924,3室2厅,84,精装,86.5㎡,未知年建
青羊,东,有,高楼层 (共11层),106105224214,1室1厅,54,简装,47.64㎡,未知年建
高新,南 北,有,低楼层 (共22层),106103671932,4室2厅,342,毛坯,143.63㎡,2014年建
天府新区,东 南,有,低楼层 (共33层),106105223510,2室1厅,122,简装,65.21㎡,2015年建
高新,西,有,低楼层 (共32层),106103640836,4室1厅,362,精装,101.35㎡,2014年建
锦江,南,有,中楼层 (共34层),106105220119,2室1厅,135,精装,76㎡,2012年建
双流,东,有,低楼层 (共16层),106105219981,1室1厅,56,简装,46.99㎡,2010年建
高新,南 西,有,中楼层 (共18层),106103619505,2室2厅,185,精装,89㎡,2010年建
武侯,南,有,中楼层 (共33层),106103612122,2室1厅,185,精装,67㎡,2012年建
武侯,西,有,低楼层 (共11层),106105219714,1室1厅,53,简装,49.98㎡,未知年建
成华,东,暂无数据,低楼层 (共3层),106105217694,2室1厅,66,精装,58.93㎡,未知年建
武侯,西北,有,高楼层 (共17层),106103539608,3室2厅,163,精装,75㎡,2017年建
彭州,南,有,高楼层 (共18层),106105214858,2室1厅,66,简装,85.5㎡,未知年建
锦江,东南,无,高楼层 (共6层),106103480611,3室1厅,82,简装,60.3㎡,1999年建
龙泉驿,南,无,中楼层 (共6层),106103399439,3室2厅,95,简装,107.96㎡,未知年建
郫都,南 北,有,中楼层 (共32层),106105213183,2室1厅,83,精装,73.27㎡,未知年建
锦江,东南,有,高楼层 (共41层),106103380876,4室2厅,738,精装,275㎡,2015年建
龙泉驿,南,有,中楼层 (共33层),106105212069,2室1厅,109,精装,73.79㎡,2013年建
郫都,西北,有,中楼层 (共20层),106103365226,4室1厅,188,精装,119.81㎡,2018年建
青白江,南 北,有,低楼层 (共26层),106105210546,2室2厅,74.9,精装,86.85㎡,未知年建
郫都,东南,有,低楼层 (共18层),106103256298,3室1厅,90.5,简装,103㎡,2015年建
双流,东南,暂无数据,中楼层 (共6层),106105209713,2室2厅,55,简装,63.53㎡,未知年建
金牛,东南,有,中楼层 (共26层),106102822070,2室1厅,137,精装,79.89㎡,2008年建
龙泉驿,东南,有,高楼层 (共11层),106105208898,2室1厅,96,简装,79.95㎡,2011年建
锦江,北,有,低楼层 (共30层),106102757798,2室1厅,172,简装,83.27㎡,2012年建
天府新区,东北,有,高楼层 (共33层),106105208536,3室2厅,180,精装,126.41㎡,2016年建
郫都,东南,有,低楼层 (共11层),106102685165,1室1厅,58.5,毛坯,60.77㎡,2011年建
龙泉驿,南,无,高楼层 (共6层),106102555428,3室2厅,70,简装,81.12㎡,1999年建
高新,西,有,低楼层 (共31层),106102552255,2室2厅,140,简装,85.56㎡,2016年建
武侯,南,有,中楼层 (共26层),106102397661,2室2厅,271,毛坯,95.32㎡,2017年建
成华,南 北,有,低楼层 (共16层),106104596027,3室2厅,140,毛坯,127.44㎡,2010年建
金牛,西南,有,高楼层 (共32层),106104556791,3室2厅,168,精装,97.86㎡,2013年建
温江,西南 西北,有,中楼层 (共32层),106102395673,2室1厅,83.6,精装,68.12㎡,2017年建
青羊,南,有,中楼层 (共25层),106102187970,2室1厅,165,精装,80.26㎡,2012年建
锦江,南 西南,有,低楼层 (共32层),106104535357,4室2厅,295,毛坯,123㎡,未知年建
锦江,南,有,中楼层 (共18层),106104520503,2室2厅,245,精装,91.97㎡,2006年建
高新,西,有,高楼层 (共23层),106102011522,3室2厅,249.9,毛坯,112.84㎡,2018年建
成华,东,有,低楼层 (共35层),106104497521,3室2厅,143,精装,90.08㎡,2018年建
龙泉驿,西南,有,中楼层 (共11层),106101764400,2室1厅,116,简装,96.82㎡,2015年建
龙泉驿,南,有,低楼层 (共11层),106104493056,5室2厅,245,毛坯,133㎡,2013年建
高新西,南,有,低楼层 (共17层),106101575534,3室2厅,175,简装,120.87㎡,2007年建
郫都,东南,有,高楼层 (共30层),106104474186,3室2厅,122,精装,89.35㎡,未知年建
温江,南,无,高楼层 (共6层),106102623229,3室2厅,102,简装,131㎡,2006年建
高新西,东南,有,高楼层 (共18层),106104467705,3室2厅,95,毛坯,81㎡,未知年建
金牛,南,有,高楼层 (共16层),106103374707,2室1厅,107,毛坯,73.88㎡,2016年建
锦江,西,有,中楼层 (共43层),106104464691,3室2厅,785,精装,217.87㎡,2011年建
成华,东,有,高楼层 (共26层),106103265224,3室1厅,350,精装,137.52㎡,2016年建
郫都,西南,有,中楼层 (共17层),106103226939,3室2厅,122,精装,121.51㎡,2010年建
成华,西北,有,中楼层 (共31层),106104459363,3室2厅,131,精装,76.16㎡,2015年建
双流,南,有,高楼层 (共26层),106103066446,3室2厅,109,毛坯,84.95㎡,未知年建
武侯,东,有,高楼层 (共18层),106104453803,3室1厅,223,精装,120.23㎡,2005年建
双流,南 西北,有,高楼层 (共13层),106103025294,3室2厅,217.2,精装,160㎡,2013年建
龙泉驿,东南,有,低楼层 (共24层),106104350536,3室1厅,135,简装,110㎡,2015年建
温江,东南,暂无数据,低楼层 (共3层),106104340354,3室2厅,139.8,精装,143.56㎡,未知年建
金牛,南,有,低楼层 (共16层),106102887876,2室1厅,104,精装,73.84㎡,2016年建
武侯,西南,暂无数据,中楼层 (共12层),106104336275,4室2厅,375,精装,165.65㎡,未知年建
金牛,西南,无,中楼层 (共7层),106102878103,1室1厅,54,精装,44.02㎡,2000年建
武侯,西,有,中楼层 (共31层),106104322976,2室1厅,220,精装,88.55㎡,2006年建
郫都,东南,有,高楼层 (共18层),106102857867,2室2厅,70,精装,81.58㎡,未知年建
新都,东北,有,低楼层 (共27层),106104969696,4室2厅,175,精装,83.1㎡,2013年建
锦江,东,有,高楼层 (共11层),106104297724,2室2厅,170,精装,91.96㎡,2003年建
双流,南 北,无,低楼层 (共6层),106104287925,3室2厅,115,简装,134㎡,2005年建
成华,东南,有,高楼层 (共24层),106104963778,3室1厅,125,简装,80㎡,2015年建
高新西,北,有,中楼层 (共33层),106104953336,3室1厅,105,精装,78㎡,2012年建
高新西,西北,有,高楼层 (共33层),106104938605,3室2厅,102,精装,78.54㎡,2012年建
武侯,南,有,低楼层 (共11层),106104224134,3室1厅,164,精装,76.19㎡,2012年建
龙泉驿,西南,有,高楼层 (共22层),106104141534,3室2厅,112,精装,95.49㎡,2016年建
成华,南,有,低楼层 (共42层),106104937805,3室2厅,136.2,精装,84.25㎡,2016年建
成华,南,无,中楼层 (共7层),106104070084,2室1厅,77.5,简装,59.67㎡,1991年建
锦江,东南 东,有,低楼层 (共50层),106104930446,1室1厅,238,精装,87.54㎡,2015年建
高新,南,有,低楼层 (共32层),106104925593,4室2厅,375,精装,100.51㎡,2013年建
郫都,东北,有,高楼层 (共32层),106104013656,3室1厅,90,简装,74.93㎡,2013年建
高新西,西南,有,高楼层 (共30层),106103976496,3室1厅,125,简装,90㎡,2017年建
龙泉驿,东南,有,中楼层 (共28层),106104920531,3室2厅,120,毛坯,104.67㎡,2017年建
高新,东,无,高楼层 (共6层),106103936863,4室2厅,204,简装,159.83㎡,2005年建
成华,西南,有,高楼层 (共32层),106104901409,3室2厅,162.9,简装,90.08㎡,2015年建
成华,南 北,有,高楼层 (共24层),106103934600,3室2厅,420,精装,138㎡,2017年建
温江,东南 南,有,高楼层 (共26层),106104901102,4室1厅,162,简装,180.87㎡,2009年建
龙泉驿,东南,有,低楼层 (共30层),106104897061,3室1厅,105,精装,78.36㎡,2015年建
青羊,东南,无,高楼层 (共7层),106104878718,2室2厅,75,简装,68.58㎡,1999年建
武侯,南,有,中楼层 (共18层),106103926957,3室2厅,167.6,毛坯,141㎡,2008年建
成华,西北,有,中楼层 (共32层),106104861271,3室2厅,159,简装,85.77㎡,2015年建
青羊,东南,有,低楼层 (共18层),106104810335,2室2厅,143,精装,77.38㎡,2012年建
武侯,南,有,中楼层 (共11层),106103773100,3室2厅,285,简装,153.63㎡,2004年建
青白江,南,无,高楼层 (共6层),106103697949,5室2厅,75,简装,173㎡,2006年建
锦江,东南,有,低楼层 (共34层),106104851007,3室1厅,155,精装,88.64㎡,2009年建
温江,东北,有,高楼层 (共30层),106104802136,2室1厅,102,简装,97㎡,2013年建
锦江,东 西,有,高楼层 (共34层),106104850840,2室1厅,152.5,精装,78.5㎡,2009年建
锦江,南,有,低楼层 (共30层),106104763389,2室2厅,168,精装,85.76㎡,2008年建
高新,东南,有,高楼层 (共45层),106103681706,5室2厅,540,精装,207.91㎡,2017年建
龙泉驿,南,有,低楼层 (共30层),106104849730,2室1厅,62.5,简装,68㎡,2007年建
郫都,东南,有,高楼层 (共34层),106104754569,2室1厅,95,简装,72.15㎡,2012年建
成华,南,有,低楼层 (共33层),106104605908,2室1厅,133,简装,87.35㎡,2009年建
郫都,东,有,低楼层 (共33层),106104849669,3室1厅,125,毛坯,84㎡,2013年建
青羊,东,有,低楼层 (共21层),106104592635,2室1厅,109,精装,70.48㎡,2014年建
成华,东 南,有,中楼层 (共26层),106104837289,3室1厅,134,简装,87.75㎡,2017年建
青羊,北,有,中楼层 (共29层),106104569534,2室1厅,147.9,精装,91.67㎡,2007年建
锦江,东,有,高楼层 (共33层),106104541540,1室2厅,118.5,精装,61.41㎡,2011年建
武侯,东南,有,高楼层 (共18层),106104833778,4室1厅,355,毛坯,143.53㎡,2011年建
成华,东,有,高楼层 (共32层),106104830026,3室2厅,70.8,简装,59㎡,未知年建
温江,北,有,中楼层 (共31层),106104508698,2室1厅,105,精装,80.7㎡,2014年建
武侯,东南,有,高楼层 (共15层),106104814181,3室1厅,129,精装,88.98㎡,2011年建
新都,西,有,中楼层 (共26层),106104473639,2室2厅,98.5,精装,80.15㎡,2008年建
青羊,东南 西南 西北,无,低楼层 (共7层),106104472144,2室2厅,215,简装,80.96㎡,1997年建
龙泉驿,东南,有,中楼层 (共15层),106104789502,1室1厅,40.5,简装,45.59㎡,未知年建
青羊,南 北,无,低楼层 (共7层),106104383484,2室2厅,116,简装,75.55㎡,2000年建
高新,东,有,中楼层 (共19层),106104788405,3室1厅,158,精装,85.25㎡,2006年建
武侯,南,无,中楼层 (共7层),106104766950,3室2厅,129.2,简装,105.19㎡,2002年建
武侯,南,无,高楼层 (共7层),106104338930,2室1厅,69.5,精装,58.3㎡,1999年建
高新,西,有,中楼层 (共22层),106104231527,2室2厅,210,精装,87.71㎡,2014年建
成华,南,有,高楼层 (共27层),106104722754,3室1厅,123,毛坯,79㎡,2017年建
成华,西北,无,高楼层 (共7层),106104213429,2室2厅,82,简装,76.38㎡,2006年建
高新,南,有,高楼层 (共30层),106104708944,4室2厅,705,精装,177.38㎡,2017年建
武侯,南,有,高楼层 (共17层),106104624357,3室2厅,230,精装,115.82㎡,2017年建
青羊,东,有,高楼层 (共21层),106104059694,2室1厅,165,精装,78.89㎡,2013年建
龙泉驿,东南,有,中楼层 (共24层),106104612049,3室2厅,128,精装,127.59㎡,2013年建
都江堰,南,无,高楼层 (共6层),106103833858,2室1厅,48.5,精装,63㎡,未知年建
武侯,东南,有,中楼层 (共13层),106104608222,3室2厅,182,精装,103㎡,2006年建
青羊,北,有,中楼层 (共9层),106103514800,2室1厅,102,精装,62.98㎡,2005年建
新都,南,有,中楼层 (共34层),106103344150,2室2厅,74.8,精装,55.09㎡,2016年建
成华,西,有,高楼层 (共34层),106104606682,3室2厅,120,毛坯,83.36㎡,2015年建
锦江,东南,无,高楼层 (共6层),106102835328,1室1厅,49,简装,42.57㎡,2008年建
双流,南,有,中楼层 (共19层),106105195711,2室1厅,39.5,简装,57.95㎡,2014年建
锦江,东南,有,低楼层 (共32层),106105179663,2室2厅,116,精装,75.11㎡,2013年建
成华,东南,有,低楼层 (共28层),106105172547,2室1厅,143,精装,88.53㎡,2009年建
青羊,东南,有,高楼层 (共20层),106105162024,1室0厅,72,简装,33.64㎡,2008年建
青羊,东,有,低楼层 (共11层),106105137319,1室1厅,53,精装,47.64㎡,未知年建
龙泉驿,东,有,中楼层 (共14层),106105133331,2室1厅,73,毛坯,92.01㎡,未知年建
新都,西南,有,低楼层 (共33层),106105111991,3室1厅,103.3,毛坯,88.41㎡,2014年建
成华,东,有,高楼层 (共22层),106105076820,3室2厅,127,精装,100.09㎡,2012年建
温江,东 北,有,高楼层 (共11层),106104942581,1室1厅,52,简装,63.63㎡,2008年建
天府新区,西南,有,中楼层 (共35层),106104874604,2室1厅,140,精装,62.54㎡,2015年建
锦江,西南,有,中楼层 (共22层),106104794424,2室1厅,158,精装,95.71㎡,2003年建
锦江,东南,无,中楼层 (共7层),106104716901,1室2厅,67.5,简装,56.8㎡,2000年建
双流,南,有,中楼层 (共12层),106104619424,3室2厅,126,毛坯,86.92㎡,2016年建
高新,东北,有,低楼层 (共33层),106104510789,2室1厅,126.5,精装,66.43㎡,2013年建
金牛,东北,有,中楼层 (共28层),106104400418,1室1厅,115,精装,48.62㎡,2014年建
温江,南,无,中楼层 (共6层),106104320157,2室2厅,77,精装,84.24㎡,2006年建
青羊,东,有,高楼层 (共18层),106104100693,3室1厅,167,精装,85.57㎡,2011年建
郫都,东南,有,低楼层 (共25层),106103685637,2室1厅,85.5,精装,73.91㎡,2013年建
青羊,南,有,中楼层 (共25层),106103335303,2室1厅,140,精装,67.83㎡,2016年建
成华,南,无,低楼层 (共7层),106105048886,3室2厅,158,简装,129.5㎡,2001年建
郫都,东南,有,低楼层 (共16层),106102730869,2室2厅,119,精装,97.15㎡,2011年建
郫都,东南,有,低楼层 (共33层),106102377831,3室2厅,123,精装,79㎡,2013年建
锦江,东,有,低楼层 (共31层),106105127556,1室1厅,93,精装,50.44㎡,2009年建
双流,南,有,低楼层 (共18层),106105088364,3室2厅,120,简装,101㎡,2010年建
高新,东北,有,高楼层 (共28层),106105068827,3室2厅,425,毛坯,123.19㎡,2015年建
郫都,西南,有,高楼层 (共33层),106105079110,4室2厅,138,精装,100.27㎡,2013年建
