区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
高新,东南,有,中楼层 (共31层),106105003004,3室2厅,245,精装,88.84㎡,2017年建
金牛,东北,有,高楼层 (共26层),106105210685,3室1厅,162,精装,105.62㎡,2009年建
天府新区,东南,有,高楼层 (共33层),106105042322,2室2厅,172.8,精装,79.61㎡,2013年建
成华,东,有,低楼层 (共30层),106104995909,3室1厅,245,精装,89.2㎡,2012年建
青羊,东,有,高楼层 (共18层),106105133681,1室1厅,112,简装,45.55㎡,2009年建
青羊,西北,有,高楼层 (共27层),106105040619,2室1厅,219,精装,89.15㎡,2010年建
双流,北,有,低楼层 (共25层),106105077525,3室1厅,126.8,简装,108.99㎡,2012年建
锦江,东南,有,高楼层 (共42层),106104993587,3室2厅,166.6,精装,84.2㎡,2016年建
高新西,西南,有,高楼层 (共6层),106105130467,1室1厅,26,毛坯,40.06㎡,未知年建
龙泉驿,东北,无,低楼层 (共6层),106105038629,2室1厅,80,简装,73.18㎡,2005年建
青羊,南 北,有,高楼层 (共28层),106105071200,3室1厅,210,精装,109.58㎡,2016年建
青羊,西,有,高楼层 (共18层),106104993536,2室1厅,110,精装,60.17㎡,未知年建
新都,南,暂无数据,中楼层 (共7层),106105124640,2室1厅,61,简装,84.56㎡,未知年建
温江,西南,有,中楼层 (共38层),106105038477,2室2厅,109,精装,81.65㎡,2014年建
高新,北,有,低楼层 (共26层),106103078112,2室1厅,127,精装,79.4㎡,2009年建
成华,西北,有,中楼层 (共27层),106105118803,2室2厅,138,精装,89.7㎡,2009年建
武侯,南 北,有,高楼层 (共18层),106105070590,3室2厅,165,精装,120.31㎡,2006年建
武侯,北,有,中楼层 (共17层),106105038282,1室1厅,76.5,精装,49.86㎡,2009年建
天府新区,东南,有,中楼层 (共34层),106105070393,3室2厅,215,精装,114.68㎡,2010年建
温江,东,有,低楼层 (共18层),106102938009,3室1厅,72,毛坯,90㎡,2016年建
金牛,东南,有,中楼层 (共31层),106105116761,1室1厅,89,精装,50.12㎡,2014年建
天府新区,东 西,有,低楼层 (共33层),106105037248,3室2厅,175,毛坯,91.32㎡,未知年建
新都,北,有,低楼层 (共32层),106102847298,3室2厅,95,毛坯,85.47㎡,2017年建
龙泉驿,西北,有,高楼层 (共34层),106105069774,2室2厅,117,精装,70.28㎡,未知年建
成华,北,有,中楼层 (共31层),106105111924,2室1厅,195,精装,82.29㎡,2014年建
金牛,东北,有,低楼层 (共19层),106102812311,3室2厅,160,简装,126.84㎡,2008年建
郫都,东,无,高楼层 (共4层),106105031306,1室1厅,48,精装,52.53㎡,2013年建
天府新区,西,有,中楼层 (共34层),106105069749,3室1厅,225,精装,124.44㎡,2010年建
武侯,东北,有,中楼层 (共16层),106102807103,2室2厅,128,精装,83.33㎡,2008年建
青羊,东,无,高楼层 (共6层),106105108032,2室1厅,78,精装,46.71㎡,1996年建
锦江,东南,有,中楼层 (共29层),106105068853,3室1厅,213,简装,89.67㎡,2015年建
锦江,东北,有,低楼层 (共40层),106104989896,4室1厅,458,精装,88㎡,2015年建
天府新区,北,有,低楼层 (共16层),106102573882,3室2厅,137,简装,107.35㎡,2007年建
新都,西,有,低楼层 (共18层),106105068184,3室1厅,128,精装,87.9㎡,2015年建
高新,东 南,有,高楼层 (共24层),106105098849,2室1厅,169,精装,88.07㎡,2011年建
成华,东,有,高楼层 (共21层),106105146264,2室1厅,115,精装,71.45㎡,2010年建
龙泉驿,东北,有,中楼层 (共33层),106102554921,3室2厅,125,简装,97.09㎡,2013年建
锦江,东南,有,中楼层 (共35层),106105068104,3室2厅,208,精装,73.8㎡,2012年建
温江,东南,有,低楼层 (共34层),106102431098,3室2厅,143,精装,95.46㎡,2008年建
温江,东南,有,低楼层 (共30层),106105093597,2室2厅,103,精装,84.26㎡,2013年建
成华,南 北,有,低楼层 (共33层),106105138822,3室2厅,145,精装,82.03㎡,2008年建
青羊,东,无,中楼层 (共8层),106105066800,3室2厅,215,精装,114.37㎡,2003年建
新都,东南,有,高楼层 (共33层),106102141127,3室2厅,92,毛坯,80.53㎡,2018年建
锦江,南,无,中楼层 (共7层),106102362634,3室2厅,256,简装,142.86㎡,2000年建
成华,南 北,有,中楼层 (共18层),106105093012,2室1厅,149,简装,86.82㎡,2008年建
锦江,东北,有,中楼层 (共26层),106105061292,3室2厅,182,精装,85.13㎡,2015年建
高新,南,无,中楼层 (共6层),106101195036,3室2厅,280,简装,121.84㎡,2002年建
青羊,南 北,无,低楼层 (共5层),106102328858,4室2厅,542,简装,166.62㎡,2002年建
锦江,东北,有,中楼层 (共19层),106105058965,4室2厅,215,精装,137㎡,2003年建
新都,西,暂无数据,低楼层 (共6层),106105132671,3室2厅,98,简装,122.39㎡,未知年建
郫都,西北,有,中楼层 (共26层),106105056917,3室1厅,103,简装,104.58㎡,2014年建
新都,南,无,高楼层 (共6层),106105131587,3室2厅,98,精装,124.6㎡,未知年建
高新,东北,有,低楼层 (共22层),106105086191,3室2厅,310,精装,94.51㎡,2017年建
温江,南,有,高楼层 (共34层),106102043680,3室2厅,145,精装,117.89㎡,2014年建
青羊,东,无,中楼层 (共7层),106105056593,3室2厅,213,精装,113.99㎡,2003年建
成华,南,有,中楼层 (共30层),106105128745,3室2厅,138,精装,87.32㎡,2010年建
青羊,南,无,中楼层 (共7层),106105041338,2室1厅,75,精装,57㎡,1996年建
成华,西南,有,低楼层 (共30层),106101567661,3室1厅,135,精装,84.09㎡,2016年建
成华,南,有,高楼层 (共19层),106105056213,3室2厅,207,精装,101.4㎡,未知年建
高新,东北,有,高楼层 (共32层),106105128297,3室2厅,215,精装,113.6㎡,2010年建
锦江,东,有,高楼层 (共11层),106105039545,2室1厅,69,简装,47.34㎡,2010年建
新津,南,有,中楼层 (共7层),106101019111,1室2厅,36.8,毛坯,54.84㎡,2005年建
锦江,东南,有,低楼层 (共34层),106105055581,2室1厅,138,精装,78.88㎡,2012年建
青羊,东南,有,中楼层 (共9层),106105125090,1室1厅,52.5,简装,40.44㎡,未知年建
郫都,东南,无,低楼层 (共6层),106103140899,3室2厅,144,精装,125.44㎡,2004年建
锦江,东,有,低楼层 (共34层),106105054211,2室1厅,115.8,简装,66.06㎡,2009年建
